Sample;Site.no;Cafeteria.ID;Caf;Substrate;Bagtype;Bag_root;Amanita;Amphinema;Cenococcum;Cortinarius;Hyaloscypha;Hygrophorus;Lactarius;Piloderma;Pseudotomentella;Russula;Tomentella_Thelephora;Tylospora
M33;7;33;3;M;Soilbag;Bag;0;0,500959849;0,012099527;0;0;0;0;0,004256474;0,165151191;0,004256474;0,313276485;0
M35;7;35;5;M;Soilbag;Bag;0;0,904019692;0,000112174;0,003363794;0,000840949;0;0;0;0;0,007568537;0,059707347;0,021864662
M36;8;36;1;M;Soilbag;Bag;0;0,093884389;0;0;0,000982772;0;0,000982772;0;0,131691423;0,020638208;0,481558188;0
M37;8;37;2;M;Soilbag;Bag;0;0,66685299;0;0;0;0;0,014658468;0;0,00666294;0,009328116;0,294501956;0,005330352
M38;8;38;3;M;Soilbag;Bag;0;0,124113475;0;0,063829787;0,003546099;0;0,017730496;0,007092199;0;0;0;0,021276596
M39;8;39;4;M;Soilbag;Bag;0;0,4047062;0,04083575;0,000411853;0;0;0;0;0,008250905;0,004537306;0,09901086;0,086634503
M4;1;4;4;M;Soilbag;Bag;0,15728245;0,589062947;0;0;0,012233079;0;0;0;0;0;0,139806622;0,012233079
M40;8;40;5;M;Soilbag;Bag;0,16990545;0,011459202;0;0,001716217;0,003432433;0;0,006864867;0;0;0,338094683;0,001716217;0,341527116
M41;9;41;1;M;Soilbag;Bag;0;0;0,022238917;0;0;0;0;0;0;0,96265342;0;0,002238729
M42;9;42;2;M;Soilbag;Bag;0;0,026984127;0;0,067573696;0,202721088;0;0;0;0;0,026984127;0;0
M43;9;43;3;M;Soilbag;Bag;0;0,558661911;0;0,065179901;0;0;0,004011071;0,001002768;0,175484349;0,004011071;0,148409621;0,042116244
M44;9;44;4;M;Soilbag;Bag;0;0,12313124;0,025015193;0,030183765;0,00776154;0;0;0,004311966;0,010348719;0,000862393;0,357893214;0,433783823
M45;9;45;5;M;Soilbag;Bag;0;0,832798707;0;0;0,021242471;0;0;0;0;0;0,134535648;0,007080824
M47;10;47;2;M;Soilbag;Bag;0;0,636379446;0,017277095;0;0;0;0;0;0;0,021774473;0,093194746;0
M5;1;5;5;M;Soilbag;Bag;0,599496222;0;0;0;0;0;0;0,025188917;0;0,153652393;0,125944584;0
M50;10;50;5;M;Soilbag;Bag;0;0,170913232;0;0;0,001109905;0;0,026637715;0;0,05327543;0,256388005;0,403993236;0,008879238
M6;2;6;1;M;Soilbag;Bag;0,001530395;0,652640188;0,009288931;0;0,001530395;0;0;0;0,018364737;0,002222411;0,016834342;0
M7;2;7;2;M;Soilbag;Bag;0,000833018;0,15322983;0,055403364;0;0;0;0;0,017493371;0;0,019992425;0,510639844;0,192427086
M8;2;8;3;M;Soilbag;Bag;0;0,253571528;0,039952097;0;0;0;0;0;0,012506248;0,650198258;0,02322589;0
M9;2;9;4;M;Soilbag;Bag;0;0,540491035;0,00694722;0;0;0;0;0,00099246;0,133982096;0;0,123065036;0,00099246
P1;1;1;1;P;Soilbag;Bag;0;0,004854369;0,072815534;0,009708738;0;0;0;0;0;0,354368932;0,208737864;0
P10;2;10;5;P;Soilbag;Bag;0;0,391304348;0,046035806;0;0;0;0,158567775;0,094629156;0,168797954;0,040920716;0,043478261;0,002557545
P11;3;11;1;P;Soilbag;Bag;0,18754988;0,003990423;0,000798085;0;0;0;0;0,003192338;0;0,727853152;0,036711891;0
P12;3;12;2;P;Soilbag;Bag;0;0,012903226;0,006451613;0,003225806;0;0;0,958064516;0,016129032;0;0;0,003225806;0
P13;3;13;3;P;Soilbag;Bag;0;0,012396694;0,033057851;0;0;0;0,004132231;0;0;0,008264463;0,32231405;0,061983471
P14;3;14;4;P;Soilbag;Bag;0;0,086142322;0,123595506;0;0;0;0,126092385;0;0,006242197;0,001248439;0,453183521;0
P15;3;15;5;P;Soilbag;Bag;0;0;0;0;0;0;0;0;0;0,68;0;0,2
P16;4;16;1;P;Soilbag;Bag;0;0,057591623;0,032460733;0;0;0;0;0,00104712;0,004188482;0,002094241;0,010471204;0,890052356
P17;4;17;2;P;Soilbag;Bag;0;0,129151292;0,007380074;0;0;0;0;0,236162362;0;0,05904059;0,505535055;0
P18;4;18;3;P;Soilbag;Bag;0;0,007518797;0,122807018;0;0;0,00877193;0;0;0,117794486;0,001253133;0,046365915;0,572681704
P19;4;19;4;P;Soilbag;Bag;0;0,088235294;0;0;0;0;0;0;0;0;0;0
P2;1;2;2;P;Soilbag;Bag;0,416504369;0,008199357;0;0;0;0;0;0,161644463;0;0,026940744;0,257864032;0,001171337
P20;4;20;5;P;Soilbag;Bag;0;0,458015267;0,223918575;0,007633588;0;0;0;0,007633588;0,048346056;0,015267176;0,17302799;0,017811705
P21;5;21;1;P;Soilbag;Bag;0;0,426323448;0,085728085;0;0,001158488;0;0,001158488;0,002316975;0,011584876;0,194625922;0,164505244;0,003475463
P22;5;22;2;P;Soilbag;Bag;0;0,360531309;0,079696395;0;0;0;0;0,030360531;0;0,398481973;0,039848197;0
P23;5;23;3;P;Soilbag;Bag;0;0,234483802;0,003212107;0,003212107;0;0;0,446482856;0,003212107;0;0;0,138120596;0,006424214
